chainage_m,lon,lat,elev_m
0.0,76.902224,29.97982,258.0
0.7,76.902231,29.97982,257.993011
2.4,76.902249,29.97982,257.971008
2.8,76.902253,29.97982,257.962006
4.3,76.902269,29.97982,257.934998
14.7,76.902377,29.979824,256.631012
23.2,76.902464,29.97983,255.380005
23.6,76.902468,29.979831,255.367996
24.0,76.902473,29.979831,255.356003
24.5,76.902478,29.979831,255.339996
25.2,76.902485,29.979832,255.311996
28.7,76.902521,29.979834,255.186005
40.5,76.902639,29.979863,254.75
50.4,76.902719,29.979919,254.526993
60.4,76.902773,29.979996,254.453003
72.5,76.902797,29.980103,254.783997
84.6,76.902804,29.980211,255.070007
95.6,76.90282,29.980309,254.705994
107.2,76.902866,29.980406,254.464005
119.2,76.902947,29.980488,254.556
131.5,76.903048,29.980555,254.761993
143.4,76.903149,29.980617,254.869995
155.5,76.903253,29.980678,254.897003
167.7,76.903349,29.980749,255.031998
177.9,76.903423,29.980815,255.108002
189.7,76.903508,29.980892,255.050003
201.8,76.903595,29.98097,255.039993
213.9,76.903682,29.981049,255.063995
226.0,76.903768,29.981128,255.029007
238.1,76.903855,29.981206,255.054993
250.1,76.903941,29.981284,255.056
262.1,76.904027,29.981362,255.074005
272.7,76.904103,29.981432,255.110992
284.9,76.90419,29.981511,254.968002
297.1,76.904277,29.981591,254.990005
307.6,76.904352,29.98166,255.108994
319.6,76.904437,29.981738,255.123993
331.3,76.904521,29.981814,255.164993
343.5,76.904608,29.981894,255.076996
353.9,76.904683,29.981962,255.104996
364.6,76.904758,29.982032,255.199997
375.6,76.904837,29.982104,255.229996
387.0,76.904919,29.982178,255.322006
399.0,76.905005,29.982256,255.347
410.9,76.90509,29.982334,255.373993
423.0,76.905176,29.982413,255.362
435.0,76.905262,29.982491,255.285995
447.1,76.905348,29.98257,255.307007
459.3,76.905436,29.982649,255.195007
471.4,76.905522,29.982728,255.145004
483.6,76.90561,29.982808,255.169998
495.9,76.905697,29.982888,255.186005
507.9,76.905783,29.982966,255.225998
519.9,76.90587,29.983044,255.151993
531.8,76.905955,29.983122,255.132004
543.8,76.906041,29.9832,255.167999
556.0,76.906128,29.983279,255.328003
568.0,76.906214,29.983357,255.313995
579.9,76.906301,29.983434,255.192993
592.2,76.906389,29.983513,255.382996
602.8,76.906465,29.983582,255.141998
607.2,76.906496,29.983611,255.128998
614.6,76.906549,29.98366,255.098999
618.4,76.906576,29.983685,255.016006
628.8,76.90665,29.983753,254.934998
640.9,76.906736,29.983832,254.764999
652.3,76.906818,29.983906,254.860001
664.1,76.906902,29.983983,255.235992
676.0,76.907002,29.984047,255.410995
686.5,76.907098,29.984091,255.360001
698.8,76.90721,29.984144,255.414993
710.6,76.907317,29.984195,255.509003
722.4,76.907425,29.984245,255.425003
733.8,76.907529,29.984294,255.464996
746.1,76.907641,29.984347,255.445007
757.9,76.907749,29.984398,255.389008
770.0,76.90786,29.984449,255.388
781.8,76.907968,29.984499,255.410004
794.2,76.908081,29.984552,255.457001
806.4,76.908193,29.984603,255.431
818.4,76.908303,29.984654,255.363998
830.3,76.908411,29.984706,255.460999
842.0,76.908518,29.984756,255.542999
854.0,76.908627,29.984808,255.572998
865.8,76.908735,29.984859,255.356003
876.5,76.908832,29.984905,255.307007
886.8,76.908926,29.98495,255.298996
897.6,76.909025,29.984996,255.485001
909.7,76.909135,29.985048,255.472
