chainage_m,lon,lat,elev_m
140009.9,78.087585,29.668558,220.744995
140022.2,78.087649,29.668462,220.727005
140034.4,78.087714,29.668368,220.744003
140046.6,78.087778,29.668273,220.897995
140058.8,78.087843,29.668179,220.897995
140071.1,78.087907,29.668084,220.960999
140083.3,78.087973,29.66799,220.916
140095.5,78.088038,29.667896,220.766006
140107.6,78.088102,29.667803,220.673996
140119.8,78.088167,29.667708,220.807999
140132.1,78.088231,29.667613,220.660995
140144.4,78.088296,29.667518,220.587997
140156.6,78.08836,29.667423,220.619003
140169.0,78.088424,29.667327,220.613007
140181.1,78.088487,29.667232,220.604004
140193.4,78.088552,29.667137,220.604004
140205.7,78.088617,29.667042,220.733994
140218.0,78.088681,29.666947,220.718994
140230.2,78.088745,29.666852,220.654007
140242.4,78.088808,29.666757,220.667999
140254.7,78.088872,29.666661,220.759995
140267.0,78.088936,29.666566,220.806
140279.2,78.089,29.666471,220.742996
140291.5,78.089065,29.666376,220.720993
140303.6,78.089129,29.666282,220.718994
140315.7,78.089192,29.666188,220.638
140327.9,78.089255,29.666093,220.712997
140340.1,78.089319,29.665999,220.636002
140352.4,78.089384,29.665904,220.632004
140364.5,78.089447,29.66581,220.733002
140376.8,78.089511,29.665714,220.796997
140389.0,78.089576,29.66562,220.789993
140398.4,78.089625,29.665547,220.841995
140404.4,78.089655,29.6655,220.742996
140416.5,78.089713,29.665403,220.498001
140428.8,78.08977,29.665304,220.054001
140441.0,78.08983,29.665208,219.371994
140453.2,78.089892,29.665112,219.059006
140465.5,78.089952,29.665015,219.192001
140477.8,78.090013,29.664918,219.412994
140490.0,78.090073,29.664821,219.468994
140502.2,78.090135,29.664725,219.585007
140514.5,78.090198,29.664629,219.626999
140526.8,78.090265,29.664535,219.612
140539.0,78.090332,29.664442,219.544006
140551.2,78.090397,29.664348,219.725006
140563.5,78.090463,29.664254,219.899002
140573.8,78.090523,29.664177,219.854996
140586.0,78.090593,29.664086,219.667999
140598.3,78.090665,29.663995,219.695999
140610.5,78.090733,29.663902,219.692993
140622.7,78.090797,29.663808,219.738007
140634.9,78.090862,29.663713,219.776001
140647.1,78.090925,29.663618,219.873993
140659.5,78.090991,29.663523,219.940994
140671.7,78.091055,29.663428,219.927002
140684.0,78.091117,29.663332,220.009003
140696.2,78.091177,29.663235,220.007004
140708.4,78.091238,29.663139,219.938004
140720.6,78.0913,29.663043,219.886993
140732.9,78.091363,29.662947,219.593994
140745.1,78.091428,29.662853,219.391006
140757.4,78.091493,29.662758,219.332001
140769.6,78.091555,29.662662,219.326004
140781.8,78.091618,29.662567,219.251999
140794.1,78.091681,29.662471,219.059006
140806.4,78.091745,29.662376,219.037003
140818.6,78.091809,29.662281,219.294998
140830.9,78.091872,29.662185,219.432007
140843.1,78.091935,29.66209,219.417007
140855.3,78.091997,29.661994,219.507004
140867.6,78.092058,29.661897,219.727005
140879.5,78.092118,29.661804,219.832001
140891.7,78.092182,29.661709,219.899002
140904.0,78.092246,29.661614,220.024002
140916.2,78.092309,29.661518,220.190002
140928.4,78.092372,29.661423,220.145004
140940.7,78.092435,29.661327,220.175995
140953.0,78.092497,29.661231,220.218002
140965.2,78.09256,29.661136,220.182999
140977.2,78.092622,29.661042,220.052002
140989.4,78.092685,29.660947,219.983002
141001.6,78.092748,29.660852,220.085999
141013.9,78.092811,29.660756,220.369995
141026.2,78.092874,29.66066,220.649002
141038.4,78.092935,29.660564,220.731995
141050.6,78.092998,29.660469,220.843994
141062.7,78.093061,29.660374,221.007004
141072.3,78.093107,29.660298,220.977005
141075.1,78.09312,29.660275,220.949005
141087.4,78.093175,29.660176,220.927994
141099.5,78.093233,29.660079,220.270996
141111.8,78.093293,29.659982,219.744995
141124.1,78.093354,29.659885,219.608994
141136.3,78.093417,29.65979,219.5
141148.5,78.093478,29.659693,219.447006
141160.8,78.093539,29.659596,219.529007
141173.1,78.093603,29.659501,219.610992
141185.3,78.093667,29.659406,219.796997
141197.6,78.09373,29.65931,219.824997
141209.7,78.093794,29.659216,219.951996
141221.9,78.093859,29.659122,220.345993
141234.2,78.093922,29.659026,220.524994
141246.4,78.093987,29.658932,220.354004
141258.7,78.094053,29.658838,220.173004
141271.0,78.094118,29.658743,219.942001
141283.1,78.09418,29.658648,219.718994
141295.3,78.09424,29.658551,219.556
141307.5,78.094299,29.658454,219.132004
141319.8,78.094358,29.658356,218.910995
141332.1,78.094423,29.658261,219.007996
141344.3,78.09449,29.658168,219.434998
141356.5,78.094551,29.658072,219.904999
141368.8,78.094609,29.657974,220.076004
141374.8,78.09464,29.657927,220.190994
141387.1,78.094706,29.657833,220.345001
141399.2,78.094771,29.657739,220.268005
141411.5,78.094833,29.657643,220.070007
141423.8,78.094895,29.657546,220.156998
141436.0,78.094956,29.65745,220.087997
141448.3,78.095018,29.657354,220.056
141460.5,78.095081,29.657258,220.067993
141472.7,78.095143,29.657163,220.104996
141484.9,78.095206,29.657068,220.143997
141496.5,78.095266,29.656977,220.151001
141508.8,78.095327,29.65688,220.147995
141521.0,78.095388,29.656784,220.115997
141533.4,78.09545,29.656687,220.026993
141545.6,78.095512,29.656591,220.054993
141557.9,78.095574,29.656495,220.125
141570.0,78.095635,29.656399,220.214005
141582.4,78.095697,29.656302,220.350998
141594.6,78.095759,29.656206,220.335999
141606.9,78.095821,29.65611,220.313995
141619.2,78.095884,29.656014,220.289001
141631.3,78.095945,29.655918,220.263
141643.6,78.096007,29.655822,220.289001
141655.8,78.096067,29.655725,220.216003
141668.0,78.096128,29.655629,220.218002
141680.3,78.096189,29.655532,220.274002
141692.6,78.096258,29.655439,220.485992
141704.7,78.096336,29.655354,220.449005
141716.9,78.096433,29.655284,220.410004
141729.1,78.096541,29.655227,220.539993
141741.4,78.096651,29.655172,220.578995
141744.0,78.096675,29.655161,220.613998
141756.1,78.096775,29.655095,220.531998
141768.3,78.096848,29.655006,220.367996
141780.5,78.096905,29.654908,220.356995
141792.8,78.096959,29.654808,220.516998
141805.1,78.097012,29.654707,220.645996
141817.3,78.097065,29.654608,220.656998
141829.5,78.097119,29.654508,220.529999
141841.8,78.09717,29.654407,220.451004
141854.0,78.097219,29.654306,220.490005
141866.3,78.097256,29.6542,220.322998
141878.5,78.09728,29.654092,220.285995
141890.8,78.097305,29.653984,220.343002
141903.1,78.097332,29.653876,220.345993
141915.4,78.097364,29.653769,220.365005
141927.5,78.097403,29.653665,220.483994
141939.9,78.097453,29.653563,220.686005
141952.0,78.097509,29.653465,220.662994
141964.4,78.097571,29.653368,220.552994
141976.6,78.097632,29.653272,220.360001
141988.6,78.097692,29.653177,220.324997
142000.9,78.097753,29.65308,220.292999
142013.1,78.097815,29.652984,220.328003
142025.4,78.097877,29.652888,220.440002
142037.6,78.097939,29.652792,220.397995
142049.9,78.098002,29.652696,220.354996
142062.1,78.098063,29.6526,220.434998
142074.4,78.098124,29.652503,220.494995
142086.7,78.098185,29.652406,220.585007
142098.8,78.098247,29.652311,220.455002
142111.1,78.09831,29.652215,220.475006
142123.3,78.098372,29.65212,220.479996
142135.4,78.098434,29.652025,220.511993
142147.8,78.098496,29.651928,220.617996
142160.0,78.098554,29.65183,220.615005
142172.3,78.098606,29.651729,220.682999
142184.5,78.09865,29.651626,220.774002
142192.0,78.098675,29.651562,220.891006
142198.1,78.098697,29.651511,221.102997
142210.3,78.098748,29.651411,220.651001
142212.9,78.098761,29.65139,220.371002
142224.8,78.098827,29.6513,218.714005
142236.8,78.098896,29.65121,217.145996
142248.7,78.098964,29.651121,215.759995
142260.3,78.09903,29.651034,214.257996
142272.4,78.099098,29.650942,212.710999
142284.3,78.099164,29.650852,211.542999
142296.5,78.099232,29.65076,210.688995
142308.8,78.099301,29.650667,209.972
142320.9,78.09937,29.650576,209.477005
142333.1,78.09944,29.650485,209.042999
142345.0,78.099508,29.650395,208.723999
142357.2,78.099579,29.650304,208.565994
142369.4,78.099649,29.650213,208.449005
142381.6,78.09972,29.650122,208.403
142393.0,78.099786,29.650037,208.378006
142405.3,78.099857,29.649946,208.272003
142417.0,78.099924,29.649858,208.104996
142429.2,78.099993,29.649766,207.884995
142441.4,78.100061,29.649674,207.682007
142453.6,78.10013,29.649582,207.516006
142465.8,78.100199,29.64949,207.393997
142478.1,78.100267,29.649397,207.328003
142490.3,78.100336,29.649305,207.287994
142502.4,78.100405,29.649214,207.201996
142514.6,78.100475,29.649123,207.240997
142526.8,78.100546,29.649032,207.375
142539.0,78.100618,29.648942,207.427994
142549.5,78.10068,29.648864,207.513
142561.7,78.100752,29.648774,207.658005
142573.9,78.100823,29.648683,207.845993
142585.7,78.100891,29.648595,208.177994
142597.9,78.100961,29.648504,208.535004
142609.0,78.101024,29.64842,208.677994
142621.0,78.101092,29.64833,208.824005
142633.2,78.101161,29.648238,209.050995
142645.5,78.101231,29.648146,209.167007
142657.6,78.1013,29.648055,209.235992
142669.6,78.101368,29.647965,209.363998
142681.7,78.101437,29.647874,209.533997
142693.6,78.101506,29.647785,209.667999
142705.7,78.101576,29.647695,209.768005
142717.8,78.101647,29.647605,209.699005
142729.8,78.101717,29.647516,209.697006
142742.0,78.101788,29.647426,209.671997
