discharge_m3s,q_unit_m2s,flow_depth_m,lacey_normal_scour_m,lacey_design_scour_m,breusers_local_scour_m,total_scour_m,cover_above_pipe_m,cover_total_m
10,0.1,0.22,0.292,0.371,0.271,0.642,1.129,0.858
20,0.2,0.33,0.464,0.589,0.342,0.931,0.911,0.569
30,0.3,0.42,0.608,0.772,0.373,1.145,0.728,0.355
40,0.4,0.5,0.736,0.935,0.389,1.324,0.565,0.176
50,0.5,0.57,0.855,1.085,0.397,1.482,0.415,0.018
60,0.6,0.64,0.965,1.226,0.402,1.627,0.274,-0.127
70,0.7,0.7,1.069,1.358,0.405,1.763,0.142,-0.263
80,0.8,0.76,1.169,1.485,0.406,1.891,0.015,-0.391
90,0.9,0.81,1.264,1.606,0.407,2.013,-0.106,-0.513
100,1.0,0.86,1.356,1.723,0.408,2.131,-0.223,-0.631
110,1.1,0.91,1.445,1.836,0.409,2.244,-0.336,-0.744
120,1.2,0.96,1.532,1.945,0.409,2.354,-0.445,-0.854
130,1.3,1.01,1.616,2.052,0.409,2.461,-0.552,-0.961
140,1.4,1.06,1.698,2.156,0.409,2.565,-0.656,-1.065
150,1.5,1.1,1.777,2.257,0.409,2.667,-0.757,-1.167
160,1.6,1.14,1.856,2.357,0.409,2.766,-0.857,-1.266
170,1.7,1.19,1.932,2.454,0.409,2.863,-0.954,-1.363
180,1.8,1.23,2.007,2.549,0.409,2.959,-1.049,-1.459
190,1.9,1.27,2.081,2.643,0.409,3.052,-1.143,-1.552
200,2.0,1.31,2.153,2.735,0.41,3.144,-1.235,-1.644
210,2.1,1.35,2.224,2.825,0.41,3.235,-1.325,-1.735
220,2.2,1.39,2.295,2.914,0.41,3.324,-1.414,-1.824
230,2.3,1.42,2.364,3.002,0.41,3.411,-1.502,-1.911
240,2.4,1.46,2.432,3.088,0.41,3.498,-1.588,-1.998
250,2.5,1.5,2.499,3.173,0.41,3.583,-1.673,-2.083
260,2.6,1.53,2.565,3.257,0.41,3.667,-1.757,-2.167
